gene_symbol,n_features,features,n_feature_IDs,n_omes,omes,n_tissues,tissues
Glrx,3,TRNSCRPT;LUNG;ENSRNOG00000012183|PROT;SKM-GN;NP_071614.1|PROT;LIVER;NP_071614.1,2,2,"PROT,TRNSCRPT",3,"LIVER,LUNG,SKM-GN"
LOC100294508,3,TRNSCRPT;LUNG;ENSRNOG00000012204|TRNSCRPT;WAT-SC;ENSRNOG00000012204|PROT;LIVER;NP_001153127.1,2,2,"PROT,TRNSCRPT",3,"LIVER,LUNG,WAT-SC"
Ddi2,5,TRNSCRPT;SKM-GN;ENSRNOG00000012274|TRNSCRPT;LIVER;ENSRNOG00000012274|PROT;SKM-GN;XP_006239367.1|PHOSPHO;HEART;XP_006239367.1_S194s|PHOSPHO;LIVER;XP_006239367.1_S194s,3,3,"PHOSPHO,PROT,TRNSCRPT",3,"HEART,LIVER,SKM-GN"
Adh1,5,TRNSCRPT;WAT-SC;ENSRNOG00000012436|PROT;HEART;NP_062159.3|PROT;LIVER;NP_062159.3|ATAC;LIVER;chr2:243563416-243564264|ATAC;LIVER;chr2:243564354-243564587,4,3,"ATAC,PROT,TRNSCRPT",3,"HEART,LIVER,WAT-SC"
Bid,3,TRNSCRPT;LUNG;ENSRNOG00000012439|TRNSCRPT;WAT-SC;ENSRNOG00000012439|PROT;LIVER;NP_073175.1,2,2,"PROT,TRNSCRPT",3,"LIVER,LUNG,WAT-SC"
Eif4ebp1,3,TRNSCRPT;SKM-GN;ENSRNOG00000012582|TRNSCRPT;KIDNEY;ENSRNOG00000012582|METHYL;LIVER;chr16-137927_cluster2,2,2,"METHYL,TRNSCRPT",3,"KIDNEY,LIVER,SKM-GN"
Dpp7,5,TRNSCRPT;LIVER;ENSRNOG00000012640|TRNSCRPT;WAT-SC;ENSRNOG00000012640|PROT;KIDNEY;NP_114179.1|PROT;LIVER;NP_114179.1|PROT;WAT-SC;NP_114179.1,2,2,"PROT,TRNSCRPT",3,"KIDNEY,LIVER,WAT-SC"
Agap3,4,TRNSCRPT;HEART;ENSRNOG00000012764|PHOSPHO;SKM-GN;XP_006236000.1_T543t|PHOSPHO;LUNG;XP_006236000.1_T543t|PHOSPHO;LUNG;XP_006236003.1_T359t,3,2,"PHOSPHO,TRNSCRPT",3,"HEART,LUNG,SKM-GN"
Gfm1,3,TRNSCRPT;KIDNEY;ENSRNOG00000012873|PROT;SKM-GN;NP_446077.1|PROT;LIVER;NP_446077.1,2,2,"PROT,TRNSCRPT",3,"KIDNEY,LIVER,SKM-GN"
Dnajb4,5,TRNSCRPT;SKM-GN;ENSRNOG00000013011|TRNSCRPT;HEART;ENSRNOG00000013011|PROT;HEART;NP_001013094.1|PROT;LIVER;NP_001013094.1|PHOSPHO;SKM-GN;NP_001013094.1_S38s,3,3,"PHOSPHO,PROT,TRNSCRPT",3,"HEART,LIVER,SKM-GN"
Chchd3,7,TRNSCRPT;SKM-GN;ENSRNOG00000013211|PROT;LIVER;NP_001100058.1|PHOSPHO;HEART;NP_001100058.1_S50s|PHOSPHO;LIVER;NP_001100058.1_S50s|PHOSPHO;SKM-GN;NP_001100058.1_S51s|PHOSPHO;HEART;NP_001100058.1_S51s|PHOSPHO;SKM-GN;XP_017448015.1_S51s,5,3,"PHOSPHO,PROT,TRNSCRPT",3,"HEART,LIVER,SKM-GN"
Mccc1,3,TRNSCRPT;HEART;ENSRNOG00000013293|TRNSCRPT;WAT-SC;ENSRNOG00000013293|PROT;LIVER;NP_001009653.1,2,2,"PROT,TRNSCRPT",3,"HEART,LIVER,WAT-SC"
Atp5if1,3,TRNSCRPT;SKM-GN;ENSRNOG00000013300|TRNSCRPT;KIDNEY;ENSRNOG00000013300|PROT;LIVER;NP_037047.2,2,2,"PROT,TRNSCRPT",3,"KIDNEY,LIVER,SKM-GN"
Txndc5,3,TRNSCRPT;LUNG;ENSRNOG00000013469|PROT;SKM-GN;NP_001258259.1|PROT;LIVER;NP_001258259.1,2,2,"PROT,TRNSCRPT",3,"LIVER,LUNG,SKM-GN"
Gsta1,5,TRNSCRPT;SKM-GN;ENSRNOG00000013484|TRNSCRPT;LUNG;ENSRNOG00000013484|PROT;SKM-GN;NP_113697.1|PROT;HEART;NP_113697.1|PHOSPHO;SKM-GN;NP_113697.1_S142s,3,3,"PHOSPHO,PROT,TRNSCRPT",3,"HEART,LUNG,SKM-GN"
Aebp1,4,TRNSCRPT;LUNG;ENSRNOG00000013720|TRNSCRPT;WAT-SC;ENSRNOG00000013720|PROT;HEART;NP_001094440.1|PROT;LUNG;NP_001094440.1,2,2,"PROT,TRNSCRPT",3,"HEART,LUNG,WAT-SC"
Lmnb1,3,TRNSCRPT;LUNG;ENSRNOG00000013774|PROT;SKM-GN;NP_446357.1|PROT;HEART;NP_446357.1,2,2,"PROT,TRNSCRPT",3,"HEART,LUNG,SKM-GN"
Rap1gap,7,TRNSCRPT;WAT-SC;ENSRNOG00000013825|PROT;LUNG;NP_001094183.1|PHOSPHO;LUNG;NP_001094183.1_S574s|PHOSPHO;HEART;XP_006239255.2_S484s|PHOSPHO;HEART;XP_017448901.1_S524s|PHOSPHO;HEART;XP_017448901.1_S524sS541s|PHOSPHO;HEART;XP_017448901.1_S556s,7,3,"PHOSPHO,PROT,TRNSCRPT",3,"HEART,LUNG,WAT-SC"
Fyb1,5,TRNSCRPT;LUNG;ENSRNOG00000013886|TRNSCRPT;WAT-SC;ENSRNOG00000013886|PROT;HEART;NP_001102646.1|PHOSPHO;HEART;NP_001102646.1_S547s|PHOSPHO;HEART;NP_001102646.1_S98s,4,3,"PHOSPHO,PROT,TRNSCRPT",3,"HEART,LUNG,WAT-SC"
Dsp,9,TRNSCRPT;HEART;ENSRNOG00000013928|TRNSCRPT;LIVER;ENSRNOG00000013928|PROT;HEART;XP_001058477.1|PROT;LIVER;XP_001058477.1|PHOSPHO;LIVER;XP_001058477.1_S1665s|PHOSPHO;HEART;XP_001058477.1_S1715s|PHOSPHO;LUNG;XP_001058477.1_S2558s|PHOSPHO;LIVER;XP_001058477.1_S2831s|PHOSPHO;HEART;XP_001058477.1_Y2777y,7,3,"PHOSPHO,PROT,TRNSCRPT",3,"HEART,LIVER,LUNG"
Ghitm,3,TRNSCRPT;SKM-GN;ENSRNOG00000013961|TRNSCRPT;KIDNEY;ENSRNOG00000013961|TRNSCRPT;LUNG;ENSRNOG00000013961,1,1,TRNSCRPT,3,"KIDNEY,LUNG,SKM-GN"
Retsat,3,TRNSCRPT;SKM-GN;ENSRNOG00000014090|TRNSCRPT;HEART;ENSRNOG00000014090|PROT;WAT-SC;NP_659552.1,2,2,"PROT,TRNSCRPT",3,"HEART,SKM-GN,WAT-SC"
Map1a,12,TRNSCRPT;SKM-GN;ENSRNOG00000014230|TRNSCRPT;HEART;ENSRNOG00000014230|PROT;SKM-GN;XP_006234888.1|PROT;HEART;XP_006234888.1|PROT;WAT-SC;XP_006234888.1|PHOSPHO;SKM-GN;XP_006234888.1_S1218s|PHOSPHO;SKM-GN;XP_006234888.1_S1444s|PHOSPHO;HEART;XP_006234888.1_S2459s|PHOSPHO;SKM-GN;XP_006234888.1_S2875s|PHOSPHO;SKM-GN;XP_006234888.1_S698s|PHOSPHO;SKM-GN;XP_006234888.1_S836s|PHOSPHO;SKM-GN;XP_006234888.1_T1862t,9,3,"PHOSPHO,PROT,TRNSCRPT",3,"HEART,SKM-GN,WAT-SC"
Slc25a25,7,TRNSCRPT;SKM-GN;ENSRNOG00000014338|TRNSCRPT;HEART;ENSRNOG00000014338|ATAC;LIVER;chr3:11440551-11441938|ATAC;LIVER;chr3:11442013-11442277|ATAC;LIVER;chr3:11442302-11442734|ATAC;LIVER;chr3:11447327-11448333|ATAC;LIVER;chr3:11452047-11453223,6,2,"ATAC,TRNSCRPT",3,"HEART,LIVER,SKM-GN"
Cdh13,3,TRNSCRPT;HEART;ENSRNOG00000014371|TRNSCRPT;LIVER;ENSRNOG00000014371|TRNSCRPT;WAT-SC;ENSRNOG00000014371,1,1,TRNSCRPT,3,"HEART,LIVER,WAT-SC"
Mgll,4,TRNSCRPT;HEART;ENSRNOG00000014508|TRNSCRPT;KIDNEY;ENSRNOG00000014508|PROT;KIDNEY;XP_008761275.1|PROT;LIVER;XP_008761275.1,2,2,"PROT,TRNSCRPT",3,"HEART,KIDNEY,LIVER"
Sacs,3,TRNSCRPT;HEART;ENSRNOG00000014509|PROT;SKM-GN;XP_006222035.1|PHOSPHO;LIVER;XP_006222035.1_S311s,3,3,"PHOSPHO,PROT,TRNSCRPT",3,"HEART,LIVER,SKM-GN"
Ndufb10,3,TRNSCRPT;HEART;ENSRNOG00000014568|TRNSCRPT;KIDNEY;ENSRNOG00000014568|PHOSPHO;SKM-GN;NP_001102913.1_Y62y,2,2,"PHOSPHO,TRNSCRPT",3,"HEART,KIDNEY,SKM-GN"
Ckmt1,3,TRNSCRPT;LUNG;ENSRNOG00000014573|PROT;WAT-SC;NP_001012756.1|PHOSPHO;SKM-GN;NP_001012756.1_S319s,3,3,"PHOSPHO,PROT,TRNSCRPT",3,"LUNG,SKM-GN,WAT-SC"
Anpep,3,TRNSCRPT;WAT-SC;ENSRNOG00000014610|PROT;KIDNEY;NP_112274.1|PROT;LIVER;NP_112274.1,2,2,"PROT,TRNSCRPT",3,"KIDNEY,LIVER,WAT-SC"
Ddah1,4,TRNSCRPT;SKM-GN;ENSRNOG00000014613|TRNSCRPT;HEART;ENSRNOG00000014613|PROT;HEART;NP_071633.1|PROT;LIVER;NP_071633.1,2,2,"PROT,TRNSCRPT",3,"HEART,LIVER,SKM-GN"
Prom2,3,TRNSCRPT;KIDNEY;ENSRNOG00000014710|TRNSCRPT;LUNG;ENSRNOG00000014710|TRNSCRPT;WAT-SC;ENSRNOG00000014710,1,1,TRNSCRPT,3,"KIDNEY,LUNG,WAT-SC"
Rasd2,3,TRNSCRPT;SKM-GN;ENSRNOG00000014761|TRNSCRPT;HEART;ENSRNOG00000014761|TRNSCRPT;KIDNEY;ENSRNOG00000014761,1,1,TRNSCRPT,3,"HEART,KIDNEY,SKM-GN"
Glipr2,3,TRNSCRPT;LUNG;ENSRNOG00000014838|TRNSCRPT;WAT-SC;ENSRNOG00000014838|PROT;SKM-GN;XP_001054584.2,2,2,"PROT,TRNSCRPT",3,"LUNG,SKM-GN,WAT-SC"
Osgin1,7,TRNSCRPT;SKM-GN;ENSRNOG00000014948|ATAC;LIVER;chr19:52076826-52077858|ATAC;LIVER;chr19:52078739-52079615|ATAC;KIDNEY;chr19:52079738-52080989|ATAC;LIVER;chr19:52079738-52080989|ATAC;LIVER;chr19:52084894-52085166|ATAC;LIVER;chr19:52085232-52085477,6,2,"ATAC,TRNSCRPT",3,"KIDNEY,LIVER,SKM-GN"
Sparcl1,5,TRNSCRPT;HEART;ENSRNOG00000015093|TRNSCRPT;LUNG;ENSRNOG00000015093|TRNSCRPT;WAT-SC;ENSRNOG00000015093|PROT;HEART;NP_037078.1|PHOSPHO;HEART;NP_037078.1_S68sS76s,3,3,"PHOSPHO,PROT,TRNSCRPT",3,"HEART,LUNG,WAT-SC"
Aspn,3,TRNSCRPT;HEART;ENSRNOG00000015410|TRNSCRPT;WAT-SC;ENSRNOG00000015410|PROT;SKM-GN;NP_001014030.1,2,2,"PROT,TRNSCRPT",3,"HEART,SKM-GN,WAT-SC"
Rbp4,4,TRNSCRPT;KIDNEY;ENSRNOG00000015518|PROT;HEART;NP_037294.1|PROT;KIDNEY;NP_037294.1|ATAC;LIVER;chr1:256804854-256805381,3,3,"ATAC,PROT,TRNSCRPT",3,"HEART,KIDNEY,LIVER"
Ptgfrn,3,TRNSCRPT;SKM-GN;ENSRNOG00000015655|TRNSCRPT;HEART;ENSRNOG00000015655|TRNSCRPT;WAT-SC;ENSRNOG00000015655,1,1,TRNSCRPT,3,"HEART,SKM-GN,WAT-SC"
Mreg,3,TRNSCRPT;SKM-GN;ENSRNOG00000015774|TRNSCRPT;HEART;ENSRNOG00000015774|TRNSCRPT;LUNG;ENSRNOG00000015774,1,1,TRNSCRPT,3,"HEART,LUNG,SKM-GN"
Chdh,4,TRNSCRPT;KIDNEY;ENSRNOG00000015859|TRNSCRPT;WAT-SC;ENSRNOG00000015859|PROT;LUNG;NP_942026.1|PROT;WAT-SC;NP_942026.1,2,2,"PROT,TRNSCRPT",3,"KIDNEY,LUNG,WAT-SC"
Mafb,3,TRNSCRPT;WAT-SC;ENSRNOG00000016037|ATAC;SKM-GN;chr3:156309646-156310095|ATAC;LIVER;chr3:156340391-156342412,3,2,"ATAC,TRNSCRPT",3,"LIVER,SKM-GN,WAT-SC"
Pdlim1,6,TRNSCRPT;HEART;ENSRNOG00000016166|TRNSCRPT;LIVER;ENSRNOG00000016166|TRNSCRPT;WAT-SC;ENSRNOG00000016166|PROT;LIVER;NP_059061.1|PHOSPHO;HEART;NP_059061.1_S151s|PHOSPHO;LIVER;NP_059061.1_S90s,4,3,"PHOSPHO,PROT,TRNSCRPT",3,"HEART,LIVER,WAT-SC"
Myo9b,4,TRNSCRPT;WAT-SC;ENSRNOG00000016256|PHOSPHO;LIVER;XP_006252886.1_S1357sS1367s|PHOSPHO;LUNG;XP_006252886.1_T1349t|PHOSPHO;LUNG;XP_006252893.1_T1318t,4,2,"PHOSPHO,TRNSCRPT",3,"LIVER,LUNG,WAT-SC"
F2,3,TRNSCRPT;LUNG;ENSRNOG00000016325|PROT;HEART;NP_075213.2|PROT;LIVER;NP_075213.2,2,2,"PROT,TRNSCRPT",3,"HEART,LIVER,LUNG"
Mcee,4,TRNSCRPT;SKM-GN;ENSRNOG00000016327|TRNSCRPT;WAT-SC;ENSRNOG00000016327|PROT;SKM-GN;NP_001099811.1|PROT;HEART;NP_001099811.1,2,2,"PROT,TRNSCRPT",3,"HEART,SKM-GN,WAT-SC"
Ptbp3,3,TRNSCRPT;WAT-SC;ENSRNOG00000016334|PHOSPHO;LIVER;NP_112636.1_S27s|PHOSPHO;HEART;NP_112636.1_S387sY392y,3,2,"PHOSPHO,TRNSCRPT",3,"HEART,LIVER,WAT-SC"
Oat,3,TRNSCRPT;LIVER;ENSRNOG00000016807|PROT;SKM-GN;NP_071966.1|PROT;HEART;NP_071966.1,2,2,"PROT,TRNSCRPT",3,"HEART,LIVER,SKM-GN"
Msrb2,3,TRNSCRPT;WAT-SC;ENSRNOG00000016873|PROT;HEART;NP_001026830.1|PROT;LIVER;NP_001026830.1,2,2,"PROT,TRNSCRPT",3,"HEART,LIVER,WAT-SC"
Pla2g2a,3,TRNSCRPT;LUNG;ENSRNOG00000016945|TRNSCRPT;WAT-SC;ENSRNOG00000016945|PROT;KIDNEY;NP_113786.3,2,2,"PROT,TRNSCRPT",3,"KIDNEY,LUNG,WAT-SC"
Coq7,3,TRNSCRPT;WAT-SC;ENSRNOG00000017012|PROT;SKM-GN;NP_036917.2|PROT;HEART;NP_036917.2,2,2,"PROT,TRNSCRPT",3,"HEART,SKM-GN,WAT-SC"
Atp5f1a,8,TRNSCRPT;HEART;ENSRNOG00000017032|TRNSCRPT;LUNG;ENSRNOG00000017032|PROT;SKM-GN;NP_075581.1|PROT;HEART;NP_075581.1|PHOSPHO;SKM-GN;NP_075581.1_S521s|PHOSPHO;SKM-GN;NP_075581.1_S528s|PHOSPHO;HEART;NP_075581.1_S76s|PHOSPHO;SKM-GN;NP_075581.1_T255t,6,3,"PHOSPHO,PROT,TRNSCRPT",3,"HEART,LUNG,SKM-GN"
Dpyd,4,TRNSCRPT;KIDNEY;ENSRNOG00000017105|PROT;KIDNEY;NP_112289.1|PROT;LUNG;NP_112289.1|PHOSPHO;LIVER;NP_112289.1_S749s,3,3,"PHOSPHO,PROT,TRNSCRPT",3,"KIDNEY,LIVER,LUNG"
Abhd2,15,TRNSCRPT;HEART;ENSRNOG00000017120|TRNSCRPT;LIVER;ENSRNOG00000017120|PROT;LIVER;NP_001099745.1|PHOSPHO;LIVER;NP_001099745.1_S58s|ATAC;LIVER;chr1:140987611-140988688|ATAC;LUNG;chr1:140997174-140999089|ATAC;LIVER;chr1:140997174-140999089|ATAC;LIVER;chr1:141008928-141009870|ATAC;LIVER;chr1:141032948-141033770|ATAC;LIVER;chr1:141037922-141039124|ATAC;LIVER;chr1:141043314-141044165|ATAC;LIVER;chr1:141044813-141046261|ATAC;LIVER;chr1:141053524-141053958|ATAC;LIVER;chr1:141061472-141062213|ATAC;LIVER;chr1:141073154-141074190,13,4,"ATAC,PHOSPHO,PROT,TRNSCRPT",3,"HEART,LIVER,LUNG"
Cyp27a1,4,TRNSCRPT;LIVER;ENSRNOG00000017188|PROT;HEART;NP_849178.2|PROT;LIVER;NP_849178.2|ATAC;SKM-GN;chr9:81996777-81998177,3,3,"ATAC,PROT,TRNSCRPT",3,"HEART,LIVER,SKM-GN"
Hif3a,3,TRNSCRPT;SKM-GN;ENSRNOG00000017198|TRNSCRPT;HEART;ENSRNOG00000017198|TRNSCRPT;WAT-SC;ENSRNOG00000017198,1,1,TRNSCRPT,3,"HEART,SKM-GN,WAT-SC"
Igfbp5,3,TRNSCRPT;HEART;ENSRNOG00000017206|TRNSCRPT;LUNG;ENSRNOG00000017206|TRNSCRPT;WAT-SC;ENSRNOG00000017206,1,1,TRNSCRPT,3,"HEART,LUNG,WAT-SC"
Slc2a4,6,TRNSCRPT;HEART;ENSRNOG00000017226|TRNSCRPT;KIDNEY;ENSRNOG00000017226|PROT;SKM-GN;NP_036883.1|PROT;HEART;NP_036883.1|PHOSPHO;SKM-GN;NP_036883.1_T482t|ATAC;SKM-GN;chr10:56558415-56559566,4,4,"ATAC,PHOSPHO,PROT,TRNSCRPT",3,"HEART,KIDNEY,SKM-GN"
Dapk2,3,TRNSCRPT;WAT-SC;ENSRNOG00000017332|PROT;LIVER;XP_008764463.1|ATAC;SKM-GN;chr8:71848488-71849130,3,3,"ATAC,PROT,TRNSCRPT",3,"LIVER,SKM-GN,WAT-SC"
Mustn1,4,TRNSCRPT;LUNG;ENSRNOG00000017369|PROT;SKM-GN;NP_852033.1|PROT;HEART;NP_852033.1|PHOSPHO;SKM-GN;NP_852033.1_T63t,3,3,"PHOSPHO,PROT,TRNSCRPT",3,"HEART,LUNG,SKM-GN"
Map1b,3,TRNSCRPT;WAT-SC;ENSRNOG00000017428|PROT;KIDNEY;NP_062090.1|PHOSPHO;LUNG;NP_062090.1_S1257s,3,3,"PHOSPHO,PROT,TRNSCRPT",3,"KIDNEY,LUNG,WAT-SC"
Mfge8,3,TRNSCRPT;WAT-SC;ENSRNOG00000017510|PROT;HEART;NP_001035276.1|PROT;KIDNEY;NP_001035276.1,2,2,"PROT,TRNSCRPT",3,"HEART,KIDNEY,WAT-SC"
Nedd4l,3,TRNSCRPT;LUNG;ENSRNOG00000017610|PROT;SKM-GN;NP_001008301.2|METHYL;WAT-SC;chr18-121105_cluster1,3,3,"METHYL,PROT,TRNSCRPT",3,"LUNG,SKM-GN,WAT-SC"
Fbp2,6,TRNSCRPT;SKM-GN;ENSRNOG00000017637|PROT;SKM-GN;NP_446168.1|PROT;HEART;NP_446168.1|PROT;LIVER;NP_446168.1|PHOSPHO;SKM-GN;NP_446168.1_T28t|ATAC;SKM-GN;chr17:387896-388858,4,4,"ATAC,PHOSPHO,PROT,TRNSCRPT",3,"HEART,LIVER,SKM-GN"
Irag1,3,TRNSCRPT;WAT-SC;ENSRNOG00000017767|PHOSPHO;LIVER;NP_001098681.1_S122s|PHOSPHO;HEART;NP_001098681.1_S404s,3,2,"PHOSPHO,TRNSCRPT",3,"HEART,LIVER,WAT-SC"
Septin1,3,TRNSCRPT;WAT-SC;ENSRNOG00000017804|PHOSPHO;HEART;NP_001012478.1_S206s|ATAC;SKM-GN;chr1:198658801-198660087,3,3,"ATAC,PHOSPHO,TRNSCRPT",3,"HEART,SKM-GN,WAT-SC"
Eno1,4,TRNSCRPT;WAT-SC;ENSRNOG00000017895|PROT;HEART;NP_036686.2|PROT;LIVER;NP_036686.2|PHOSPHO;HEART;NP_036686.2_S40s,3,3,"PHOSPHO,PROT,TRNSCRPT",3,"HEART,LIVER,WAT-SC"
Cavin3,3,TRNSCRPT;WAT-SC;ENSRNOG00000017914|PROT;SKM-GN;NP_604444.1|PHOSPHO;HEART;NP_604444.1_S56s,3,3,"PHOSPHO,PROT,TRNSCRPT",3,"HEART,SKM-GN,WAT-SC"
Optn,8,TRNSCRPT;HEART;ENSRNOG00000017941|PROT;LIVER;NP_659549.2|PHOSPHO;SKM-GN;NP_659549.2_T349t|PROT;SKM-GN;XP_006254324.1|PHOSPHO;SKM-GN;XP_006254324.1_T348t|PHOSPHO;LIVER;XP_006254325.1_S346s|PHOSPHO;LIVER;XP_006254325.1_S548s|PROT;LIVER;XP_017455943.1,8,3,"PHOSPHO,PROT,TRNSCRPT",3,"HEART,LIVER,SKM-GN"
Phyh,4,TRNSCRPT;HEART;ENSRNOG00000018044|PROT;SKM-GN;NP_446126.1|PROT;HEART;NP_446126.1|PROT;LIVER;NP_446126.1,2,2,"PROT,TRNSCRPT",3,"HEART,LIVER,SKM-GN"
Vim,3,TRNSCRPT;KIDNEY;ENSRNOG00000018087|TRNSCRPT;LUNG;ENSRNOG00000018087|TRNSCRPT;WAT-SC;ENSRNOG00000018087,1,1,TRNSCRPT,3,"KIDNEY,LUNG,WAT-SC"
Acadvl,5,TRNSCRPT;HEART;ENSRNOG00000018114|TRNSCRPT;WAT-SC;ENSRNOG00000018114|PROT;SKM-GN;NP_037023.1|PROT;HEART;NP_037023.1|PROT;WAT-SC;NP_037023.1,2,2,"PROT,TRNSCRPT",3,"HEART,SKM-GN,WAT-SC"
Prkab2,4,TRNSCRPT;SKM-GN;ENSRNOG00000018166|PHOSPHO;LIVER;NP_072149.1_S183s|PHOSPHO;HEART;XP_006233073.1_T39t|ATAC;SKM-GN;chr2:199863068-199863302,4,3,"ATAC,PHOSPHO,TRNSCRPT",3,"HEART,LIVER,SKM-GN"
Tpm1,3,TRNSCRPT;SKM-GN;ENSRNOG00000018184|PROT;WAT-SC;NP_001029243.1|PROT;HEART;XP_008764429.1,3,2,"PROT,TRNSCRPT",3,"HEART,SKM-GN,WAT-SC"
Srrm1,3,TRNSCRPT;WAT-SC;ENSRNOG00000018194|PHOSPHO;LUNG;NP_001101456.2_S743s|PHOSPHO;LIVER;XP_006239244.1_S755s,3,2,"PHOSPHO,TRNSCRPT",3,"LIVER,LUNG,WAT-SC"
Mrc1,4,TRNSCRPT;LUNG;ENSRNOG00000018251|TRNSCRPT;WAT-SC;ENSRNOG00000018251|PROT;HEART;NP_001099593.2|PROT;LUNG;NP_001099593.2,2,2,"PROT,TRNSCRPT",3,"HEART,LUNG,WAT-SC"
Hspa5,3,TRNSCRPT;SKM-GN;ENSRNOG00000018294|TRNSCRPT;HEART;ENSRNOG00000018294|PHOSPHO;WAT-SC;NP_037215.1_T648t,2,2,"PHOSPHO,TRNSCRPT",3,"HEART,SKM-GN,WAT-SC"
Eps8l2,4,TRNSCRPT;LUNG;ENSRNOG00000018336|TRNSCRPT;WAT-SC;ENSRNOG00000018336|PROT;WAT-SC;XP_006230624.1|PHOSPHO;LIVER;XP_006230624.1_S204s,3,3,"PHOSPHO,PROT,TRNSCRPT",3,"LIVER,LUNG,WAT-SC"
Pld3,3,TRNSCRPT;HEART;ENSRNOG00000018390|TRNSCRPT;LUNG;ENSRNOG00000018390|PROT;WAT-SC;NP_001012167.1,2,2,"PROT,TRNSCRPT",3,"HEART,LUNG,WAT-SC"
Apoc2,4,TRNSCRPT;KIDNEY;ENSRNOG00000018402|TRNSCRPT;LIVER;ENSRNOG00000018402|PROT;KIDNEY;NP_001078821.1|PROT;WAT-SC;NP_001078821.1,2,2,"PROT,TRNSCRPT",3,"KIDNEY,LIVER,WAT-SC"
Apoc1,3,TRNSCRPT;LUNG;ENSRNOG00000018426|PROT;HEART;NP_001103466.1|PROT;LIVER;NP_001103466.1,2,2,"PROT,TRNSCRPT",3,"HEART,LIVER,LUNG"
LOC108351137,4,TRNSCRPT;KIDNEY;ENSRNOG00000018630|TRNSCRPT;LUNG;ENSRNOG00000018630|TRNSCRPT;KIDNEY;ENSRNOG00000030963|ATAC;SKM-GN;chr4:157680627-157682399,3,2,"ATAC,TRNSCRPT",3,"KIDNEY,LUNG,SKM-GN"
Atxn2l,3,TRNSCRPT;HEART;ENSRNOG00000018686|PHOSPHO;LIVER;XP_017444890.1_S333s|ATAC;KIDNEY;chr1:197918143-197919911,3,3,"ATAC,PHOSPHO,TRNSCRPT",3,"HEART,KIDNEY,LIVER"
Cd74,3,TRNSCRPT;LUNG;ENSRNOG00000018735|TRNSCRPT;WAT-SC;ENSRNOG00000018735|PROT;KIDNEY;XP_006254823.1,2,2,"PROT,TRNSCRPT",3,"KIDNEY,LUNG,WAT-SC"
Herpud1,3,TRNSCRPT;HEART;ENSRNOG00000018796|TRNSCRPT;KIDNEY;ENSRNOG00000018796|ATAC;LIVER;chr19:11044684-11046162,2,2,"ATAC,TRNSCRPT",3,"HEART,KIDNEY,LIVER"
Gstm2,4,TRNSCRPT;SKM-GN;ENSRNOG00000018937|TRNSCRPT;LUNG;ENSRNOG00000018937|PROT;SKM-GN;NP_803175.1|PROT;KIDNEY;NP_803175.1,2,2,"PROT,TRNSCRPT",3,"KIDNEY,LUNG,SKM-GN"
Gstm7,4,TRNSCRPT;SKM-GN;ENSRNOG00000018937|TRNSCRPT;LUNG;ENSRNOG00000018937|PROT;SKM-GN;NP_112416.1|PROT;LIVER;NP_112416.1,2,2,"PROT,TRNSCRPT",3,"LIVER,LUNG,SKM-GN"
Gsn,3,TRNSCRPT;HEART;ENSRNOG00000018991|TRNSCRPT;KIDNEY;ENSRNOG00000018991|TRNSCRPT;WAT-SC;ENSRNOG00000018991,1,1,TRNSCRPT,3,"HEART,KIDNEY,WAT-SC"
Ldhd,4,TRNSCRPT;WAT-SC;ENSRNOG00000019036|PROT;SKM-GN;XP_006255693.1|PROT;HEART;XP_006255693.1|PROT;WAT-SC;XP_006255693.1,2,2,"PROT,TRNSCRPT",3,"HEART,SKM-GN,WAT-SC"
Hmgcs2,9,TRNSCRPT;WAT-SC;ENSRNOG00000019120|PROT;LUNG;NP_775117.2|PROT;LIVER;NP_775117.2|PHOSPHO;LIVER;NP_775117.2_S322s|PHOSPHO;LIVER;NP_775117.2_S440s|PHOSPHO;LIVER;NP_775117.2_S441s|PHOSPHO;LIVER;NP_775117.2_S477s|PHOSPHO;LIVER;NP_775117.2_T49t|ATAC;LIVER;chr2:200479985-200481165,8,4,"ATAC,PHOSPHO,PROT,TRNSCRPT",3,"LIVER,LUNG,WAT-SC"
Acsl4,3,TRNSCRPT;SKM-GN;ENSRNOG00000019180|PROT;KIDNEY;NP_446075.1|PROT;LIVER;NP_446075.1,2,2,"PROT,TRNSCRPT",3,"KIDNEY,LIVER,SKM-GN"
Npr3,3,TRNSCRPT;SKM-GN;ENSRNOG00000019184|PROT;LUNG;NP_037000.1|PROT;WAT-SC;NP_037000.1,2,2,"PROT,TRNSCRPT",3,"LUNG,SKM-GN,WAT-SC"
Sult1a1,4,TRNSCRPT;HEART;ENSRNOG00000019342|TRNSCRPT;LUNG;ENSRNOG00000019342|PROT;HEART;NP_114022.1|PROT;LIVER;NP_114022.1,2,2,"PROT,TRNSCRPT",3,"HEART,LIVER,LUNG"
Chid1,3,TRNSCRPT;LIVER;ENSRNOG00000019351|PROT;KIDNEY;NP_001041319.2|PROT;WAT-SC;NP_001041319.2,2,2,"PROT,TRNSCRPT",3,"KIDNEY,LIVER,WAT-SC"
